show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,description,user_rating_score,number_of_reviews
s15,Movie,Black Mirror,Martin Scorsese,United Kingdom,1-Oct-17,2006,TV-14,45 min,Documentaries,Description of show.,,859
s6,Documentary,Money Heist,Ava DuVernay,Spain,,2009,TV-14,,Documentaries,Description of show.,,317
s21,tv show,The Umbrella Academy,Noah Baumbach,Canada,1-Aug-18,2000,PG-13, ,Children & Family Movies,Description of show.,6.6,
s9,movie,The Crown,David Fincher,United Kingdom,15-Jul-20,2010,pg13, ,Documentaries,Description of show.,6,456
s31,Stand-Up,Dark,Martin Scorsese,Germany,,2003,PG-13,1 Season,Children & Family Movies,Description of show.,,
s16,Movie,BoJack Horseman,Martin Scorsese,United States,15-Jul-20,2013,tv-ma,45 min,Dramas,Description of show.,5.5,
s26,tv show,Dark,Quentin Tarantino,Germany,,2002,,45 min,Comedies,Description of show.,6.6,227
s17,tv show,Bird Box,Greta Gerwig,,,2018,TV-MA,100 min,Documentaries,Description of show.,,
s8,movie,Ozark,Alfonso Cuarón,United States,1-Aug-18,2006,TV-14,100 min,Dramas,Description of show.,6.8,340
s25,Stand-Up,The Irishman,,United States,,2006,TV-PG,100 min,Comedies,Description of show.,,
s31,tv show,Roma,Martin Scorsese,Mexico,,2003,PG-13,1 Season,Children & Family Movies,Description of show.,,
s28,Stand-Up,Roma,Bong Joon-ho,Mexico,,2002,tv-ma,,Documentaries,Description of show.,9,212
s24,movie,Bird Box,Greta Gerwig,India,15-Jul-20,2019,TV-MA,,Comedies,Description of show.,7.6,780
s16,Stand-Up,You,Alfonso Cuarón,United States,15-Jul-20,2013,tv-ma,45 min,Dramas,Description of show.,5.5,
s47,Stand-Up,Money Heist,,Spain,15-Jul-20,2007,pg13, ,Dramas,Description of show.,8.3,
s49,tv show,Marriage Story,Alfonso Cuarón,United States,,2017,pg13,100 min,Children & Family Movies,Description of show.,,547
s7,tv show,Bridgerton,Bong Joon-ho,United Kingdom,1-Oct-17,2002,PG-13,45 min,Comedies,Description of show.,5.2,606
s16,Stand-Up,Marriage Story,,United States,15-Jul-20,2013,tv-ma,45 min,Dramas,Description of show.,5.5,
s12,movie,The Umbrella Academy,Noah Baumbach,Canada,1-Aug-18,2017,pg13,90 min,Comedies,Description of show.,6,192
s32,Movie,Mindhunter,Sofia Coppola,United States,9-Sep-19,2014,pg13,,Action & Adventure,Description of show.,5.7,
s44,Documentary,Roma,Ava DuVernay,Mexico,15-Jul-20,2019,PG-13,100 min,Dramas,Description of show.,7.8,
s35,Movie,Breaking Bad,Sofia Coppola,United States,1-Aug-18,2014,PG-13,90 min,Action & Adventure,Description of show.,5.6,969
s38,tv show,The Crown,Alfonso Cuarón,United Kingdom,1-Oct-17,2010,TV-14,90 min,Action & Adventure,Description of show.,,
s43,Documentary,You,Noah Baumbach,United States,,2022,tv-ma,90 min,Comedies,Description of show.,8.6,
s37,Movie,The Witcher,,Poland,15-Jul-20,2011,tv-ma, ,Action & Adventure,Description of show.,,
s38,TV Show,The Queen's Gambit,Noah Baumbach,United States,1-Oct-17,2010,TV-14,90 min,Action & Adventure,Description of show.,,
s9,Movie,You,Ava DuVernay,United States,15-Jul-20,2010,pg13, ,Documentaries,Description of show.,6,456
s41,movie,Ozark,Martin Scorsese,United States,,2010,pg13,1 Season,Documentaries,Description of show.,6.8,553
s3,TV Show,Marriage Story,Sofia Coppola,United States,15-Jul-20,2010,PG-13,,Children & Family Movies,Description of show.,,
s33,Documentary,Black Mirror,Noah Baumbach,United Kingdom,1-Oct-17,2001,tv-ma,45 min,Action & Adventure,Description of show.,6.8,741
s47,tv show,Stranger Things,Ava DuVernay,United States,15-Jul-20,2007,pg13, ,Dramas,Description of show.,8.3,
s22,TV Show,Bridgerton,Noah Baumbach,United Kingdom,9-Sep-19,2018,TV-PG,1 Season,Documentaries,Description of show.,,151
s26,Movie,House of Cards,Martin Scorsese,United States,,2002,,45 min,Comedies,Description of show.,6.6,227
s43,movie,Bird Box,Alfonso Cuarón,United States,,2022,tv-ma,90 min,Comedies,Description of show.,8.6,
s37,Movie,House of Cards,Noah Baumbach,United States,15-Jul-20,2011,tv-ma, ,Action & Adventure,Description of show.,,
s29,TV Show,Roma,Martin Scorsese,Mexico,,2018,,,Dramas,Description of show.,9,820
s9,TV Show,BoJack Horseman,Quentin Tarantino,United States,15-Jul-20,2010,pg13, ,Documentaries,Description of show.,6,456
s47,Movie,Roma,,Mexico,15-Jul-20,2007,pg13, ,Dramas,Description of show.,8.3,
s41,Documentary,Ozark,Quentin Tarantino,United States,,2010,pg13,1 Season,Documentaries,Description of show.,6.8,553
s44,TV Show,Stranger Things,Sofia Coppola,,15-Jul-20,2019,PG-13,100 min,Dramas,Description of show.,7.8,
s40,Documentary,The Queen's Gambit,Sofia Coppola,United States,1-Oct-17,2021,TV-MA,90 min,Documentaries,Description of show.,8.3,67
s18,tv show,Roma,David Fincher,Mexico,15-Jul-20,2005,pg13,90 min,Dramas,Description of show.,,
s37,TV Show,The Crown,Quentin Tarantino,United Kingdom,15-Jul-20,2011,tv-ma, ,Action & Adventure,Description of show.,,
s29,Stand-Up,Roma,David Fincher,Mexico,,2018,,,Dramas,Description of show.,9,820
s16,TV Show,Marriage Story,Sofia Coppola,United States,15-Jul-20,2013,tv-ma,45 min,Dramas,Description of show.,5.5,
