"RULE_ID","STATUS","REQUIREMENT","DEFICIENCY","EVIDENCE","REMEDIATION"
"1.1","PASS","CSV file extension","None.","Expected .csv; found .csv.","None required."
"1.3","PASS","UTF-8 encoding","None.","The file can be decoded as UTF-8.","None required."
"2.1","PASS","One header row","None.","One non-empty first row was found and no repeated header row was detected.","None required."
"1.2","PASS","CSV structure can be parsed","None.","PowerShell parsed the file as comma-separated data.","None required."
"2.2","FAIL","Column names contain no lowercase letters","The data does not meet this requirement.","0 of 7 column names meet this condition.","Review the evidence, correct the source data, and rerun the examination."
"2.3","FAIL","Column names contain no numbers","The data does not meet this requirement.","6 of 7 column names meet this condition.","Review the evidence, correct the source data, and rerun the examination."
"2.4","PASS","Column names contain no spaces","None.","7 of 7 column names meet this condition.","None required."
"2.5","FAIL","Column names contain no special characters","The data does not meet this requirement.","2 of 7 column names meet this condition.","Review the evidence, correct the source data, and rerun the examination."
"2.6","PASS","Column names contain no invisible or non-printing characters","None.","7 of 7 column names meet this condition.","None required."
"2.7","PASS","Column names contain at least 5 characters","None.","7 of 7 column names meet this condition.","None required."
"2.8","PASS","Column names contain no more than 30 characters","None.","7 of 7 column names meet this condition.","None required."
"2.9.1","FAIL","Required column STUDENT_ID","The data does not meet this requirement.","The column is missing.","Review the evidence, correct the source data, and rerun the examination."
"2.9.2","FAIL","Required column FIRST_NAME","The data does not meet this requirement.","The column is missing.","Review the evidence, correct the source data, and rerun the examination."
"2.9.3","FAIL","Required column LAST_NAME","The data does not meet this requirement.","The column is missing.","Review the evidence, correct the source data, and rerun the examination."
"2.9.4","FAIL","Required column PROGRAM_CODE","The data does not meet this requirement.","The column is missing.","Review the evidence, correct the source data, and rerun the examination."
"2.9.5","FAIL","Required column COURSE_CODE","The data does not meet this requirement.","The column is missing.","Review the evidence, correct the source data, and rerun the examination."
"2.9.6","FAIL","Required column MIDTERM","The data does not meet this requirement.","The column is missing.","Review the evidence, correct the source data, and rerun the examination."
"2.9.7","PASS","Required column FINAL","None.","The column is present.","None required."
"2.9.8","FAIL","Required column ATTENDANCE","The data does not meet this requirement.","The column is missing.","Review the evidence, correct the source data, and rerun the examination."
"3.1.1","PASS","Each data row contains one STUDENT_ID value.","None.","No deficiencies found.","None required."
"3.1.2","PASS","Each STUDENT_ID begins with S.","None.","No deficiencies found.","None required."
"3.1.3","FAIL","Each STUDENT_ID contains three digits after S.","The data does not meet this requirement.","STUDENT_ID does not contain exactly three digits after S. 1 affected records.  Affected rows: 1. Examples: row 1001: S1000","Review the evidence, correct the source data, and rerun the examination."
"3.1.4","FAIL","Each STUDENT_ID contains four characters.","The data does not meet this requirement.","STUDENT_ID does not contain four characters. 1 affected records.  Affected rows: 1. Examples: row 1001: S1000","Review the evidence, correct the source data, and rerun the examination."
